time(s),roll_deg,pitch_deg,yall_deg
1661983418.4683585,0,-8,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983435.415404,0,9,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983435.4621973,0,13,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983435.5079954,0,12,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983435.5548232,0,5,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983435.6015844,0,-4,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983435.6503708,0,-4,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983435.6971638,0,-24,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983435.7430053,0,-27,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983435.7877648,0,-24,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983435.834559,0,-24,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983435.8823488,0,-5,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983435.9291425,0,6,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983435.976932,0,14,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.0227308,0,18,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.068529,0,16,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.1163187,0,9,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.1641402,0,-1,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.2109022,0,-1,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.2566996,0,-20,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983436.3034933,0,-23,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983436.3522787,0,-22,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983436.399074,0,-22,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983436.4468637,0,-2,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.4936566,0,7,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.5404518,0,16,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.5872452,0,19,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.6342087,0,18,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.6818292,0,10,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.7276275,0,0,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.7754173,0,0,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983436.8232067,0,-19,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983436.8709967,0,-22,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983436.9187863,0,-19,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983436.9646163,0,-19,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983437.0123742,0,0,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.0601635,0,9,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.1079533,0,17,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.1555622,0,17,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.2003589,0,16,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.248149,0,8,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.295938,0,5,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.3437297,0,5,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.3925135,0,-19,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983437.4373178,0,-21,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983437.4831145,0,-19,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983437.5309038,0,-19,-78
time(s),roll_deg,pitch_deg,yall_deg
1661983437.5786934,0,0,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.6264832,0,10,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.6722813,0,17,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.720071,0,19,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.7659013,0,15,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.8136592,0,15,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.8614495,0,15,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.907247,0,15,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983437.9550354,0,-17,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.0028265,0,-20,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.051614,0,-19,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.0994015,0,-19,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.1447995,0,1,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.192587,0,11,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.2413726,0,17,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.2881663,0,18,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.3369527,0,14,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.3817544,0,9,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.4295442,0,9,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.4773335,0,9,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.5251234,0,9,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.572913,0,9,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.618711,0,9,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.6665008,0,9,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.7142904,0,3,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.762079,0,12,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.8098695,0,17,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.8557003,0,17,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.9034579,0,12,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.9512477,0,3,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983438.9990373,0,3,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.0468268,0,3,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.0926251,0,3,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.1404166,0,3,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.1872087,0,3,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.2340047,0,3,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.2817924,0,4,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.326595,0,12,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.3733892,0,17,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.4211788,0,16,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.4689696,0,11,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.516758,0,2,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.565542,0,0,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.6103463,0,0,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.6591332,0,0,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.7039337,0,0,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.7517238,0,0,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.7975218,0,0,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.8463075,0,5,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.894097,0,13,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.9408896,0,17,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983439.9885411,0,16,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983440.0329187,0,10,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983440.0787177,0,2,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983440.1262116,0,2,-77
time(s),roll_deg,pitch_deg,yall_deg
1661983440.174027,0,2,-77
time(s),roll_deg,pitch_deg,yall_deg
