time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.220093012,19,-38,-32
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.157902718,1,-4,-4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.224609852,-39,0,1
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.285341978,-67,7,-5
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.349061728,-52,11,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.412781,-19,-10,1
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.476501226,15,-10,1
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.540220261,28,-14,-2
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.601948738,-8,-2,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.664219618,21,-8,2
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.72717452,56,5,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.790858746,37,7,3
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.853580713,7,4,14
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.915310383,41,3,13
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.979029894,19,-10,-2
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.040758133,-6,22,-2
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.104511261,13,11,-7
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.166205883,0,5,-3
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.229925632,40,3,-7
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.294640541,40,3,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.357365131,48,-12,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.421084166,82,4,-1
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.467878342,111,22,7
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.548522472,10,21,3
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.612241983,0,7,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.675516129,-6,-2,-3
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.73923564,-53,17,-6
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.802954674,-228,28,-11
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.8666749,-315,-10,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.93039465,-239,-20,-3
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.976192951,-48,-11,2
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.056838274,155,7,1
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.118566751,291,14,6
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.182285786,283,7,7
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.244014263,147,-7,-1
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.307733774,-55,-8,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.369463205,-227,1,-7
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.433181763,-297,8,-6
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.496901035,-219,2,-1
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.561616421,-34,-4,1
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.623345375,154,-5,4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.686068773,281,0,3
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.749788046,263,5,6
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.813508511,118,1,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.877228737,-76,-3,-3
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.940947771,-235,-1,-5
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.003671646,-283,0,-5
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.06639576,-196,2,-1
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.130114555,-12,1,1
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.191842794,170,0,5
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.253570795,274,0,4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.318285227,242,0,4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.381010056,94,0,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.445725679,-93,0,-4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.508448362,-234,0,-5
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.572168827,-268,0,-4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.635888815,-166,0,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.697309971,10,1,1
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.761029243,185,2,5
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.824748993,267,1,3
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.888470173,214,-1,4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.952188015,63,0,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.015906572,-116,1,-4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.08062315,-240,0,-4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.145338058,-246,-1,-3
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.20905757,-124,0,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.272777081,57,1,2
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.336497068,206,1,4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.396235466,257,0,4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.457962275,189,0,2
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.520684958,31,0,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.584405661,-133,0,-4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
