time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
0,0,0,0
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.171874762,38,60,-160
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.235562563,59,47,-11
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.297290802,-6,8,117
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.362037897,-70,-56,193
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.424729824,-80,-88,217
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.472551107,-24,-46,147
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.550177813,20,15,13
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.613395214,44,35,-124
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.677115917,28,18,-215
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.740834236,15,20,-215
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.804552794,24,36,-130
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.866315365,18,24,-7
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.930001974,-5,2,101
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
1.991729975,-44,-38,207
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.055449486,-61,-64,198
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.119169235,-38,-56,115
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.182920456,8,5,-4
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.245612383,42,45,-132
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.309332609,41,37,-206
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.370065928,24,21,-198
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.432790041,8,11,-112
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.496508598,0,12,9
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.558236837,-8,-4,111
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.621629238,-22,-22,203
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.667427301,-31,-43,187
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.745084286,-41,-60,99
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.808805943,-15,-15,-25
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.872558594,23,48,-136
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
2.937240124,48,57,-197
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.000959635,37,31,-178
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.064678431,1,0,-90
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.128398895,-18,-7,38
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.190127134,3,2,151
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.255871773,-12,-12,197
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.317566156,-34,-47,165
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.379294634,-45,-63,70
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.443014383,-19,-7,-47
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.507729053,28,62,-144
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.570453405,54,64,-189
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.63218379,36,24,-160
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.695902348,-2,-7,-66
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.75962162,-20,-18,56
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.823340178,0,-5,158
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.871161461,-2,-15,190
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
3.950779915,-28,-41,142
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.015494585,-47,-55,39
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.078217745,-17,7,-70
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.140942574,20,69,-151
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.203667402,55,62,-179
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.26738739,33,19,-137
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.331105471,-3,-14,-38
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.39482379,-23,-28,80
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.458543539,-3,-17,165
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.522264481,-1,-16,178
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.585838079,-23,-35,119
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.647533655,-42,-41,17
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.710258484,-15,17,-80
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.770990372,30,64,-154
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.834709883,48,53,-169
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.898429394,32,16,-115
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
4.96214819,-2,-18,-14
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.025868416,-18,-28,96
time_s,roll_deg_s,pitch_deg_s,yaw_deg_s
5.07266283,-1,-15,166
